title,pub_date,description,audio,length,podcast_id
"Ep. 4 Eefje \""Sjokz\"" Depoortere",2019-07-19,If there is one name and one face people would associ…shares that with us on this weeks Voice of Esports.,https://www.listennotes.com/e/p/e35b35a1a4d64eb2836772e644290864/,2611,1
"Ep. 3 Jason \""1\"" Lake",2019-07-12,Our third episode covers the area of team ownership a…t hasn&rsquo;t always been easy. This is his story.,https://www.listennotes.com/e/p/86b4596997bd48ab87a6139b494eeb9d/,2614,1
"The Dive | MVP and Playoffs Race (Season 3, Episode 23)",2019-07-15,This week on The Dive the gang are throwing schedule to …s they go deep on the LCS MVP and the road to Playoffs.,https://www.listennotes.com/e/p/d89a8bdda5904a638af0fc721ba724ed/,4085,2
"The Dive | El Clásico & A Battle For First (Season 3, Episode 22)",2019-07-10,This week on The Dive the gang are going deep on wrist i…utube here: https://www.youtube.com/watch?v=5zQ-g_ixF7o,https://www.listennotes.com/e/p/68456ed1b20e40669e101a8f33728cdd/,3686,2
"#4 - Meet The President Of A $160,000,000 Esports Company",2019-07-19,"100 Thieves President and COO John Robinson comes on …illion Series B funding was so important, and more.",https://www.listennotes.com/e/p/32a4f7a3be684f9a908d730bc8d958d4/,3084,3
#3 - Meet One of Google's Youngest Executives,2019-07-05,"On this episode of Self Made with Nadeshot presented …ing, how Fortnite got so huge on YouTube, and more!",https://www.listennotes.com/e/p/4b27d6c1d154407ea8dee2f687bb29c7/,3989,3
#4 - Cloakzy,2019-07-11,"On this episode of The CouRage and Nadeshot Show pres… parties, bring TimtheTatman on the show, and more!",https://www.listennotes.com/e/p/598d8535513b4e4b9dd6a4a64c248fab/,4798,4
#3- TimTheTatman,2019-06-27,"On this episode of The CouRage and Nadeshot Show pres…oments, being a father, Overwatch League, and more!",https://www.listennotes.com/e/p/0c6d3de44daa415c8f742772d2cdb65f/,4491,4
C2E70 Causatum,2019-07-18,The Mighty Nein come to terms with the consequences o...,https://www.listennotes.com/e/p/3b1c33a4d2a64ce490bdd5fecfc93792/,12912,5
Talks Machina: Discussing C2E69 - The King's Cage,2019-07-16,Matthew Mercer and Travis Willingham join host Brian..,https://www.listennotes.com/e/p/d47e9f79f4be4f5d9f5332dbffd584ae/,3762,5
Dashy | Young Phenom,2019-07-15,"This week I sat down with Brandon \""Dashy\"" Otell to …ned from competitive sniping into a CWL Champion.",https://www.listennotes.com/e/p/74de0f7d45d04cbd90e007d6143d4c14/,3840,6
Sundance | Co-Founder of MLG,2019-07-01,This week I sat down with my longtime friend and ment…Sundance has developed MLG into what it is today.,https://www.listennotes.com/e/p/7e4cb89a186742b9a64edacf2eec4165/,6415,6
"173 - Transparency, Transparency, Transparency",2019-07-15,The boys talk about the stage 3 Playoffs! You can suppor…witter.com/The_Blevins #Overwatch #OverwatchLeague #OWL,https://www.listennotes.com/e/p/7c0afab1696b4eab8f1bcb9bb6534ebb/,4688,7
172 - The Perfect Reality Realized,2019-07-08,The boys talk about&nbsp; the Atlanta Reign Homestand.,https://www.listennotes.com/e/p/e5277d1ad40341efb0420ccc3bfd8b4b/,4297,7